Total Income,Age,Gender,Dependents,Occupation,Rent,Loan_Repayment,Insurance,Shopping,Transport,Eating_Out,Entertainment,Utilities,Healthcare,School Fees,Miscellaneous,Expenses,Disposable_Income
84637.2,49,Male,0,Self_Employed,13391.17489,0,2206.5,6658.8,2637,1651.8,1536.2,2911.8,1546.9,0,831.5,33371.6,67709.8
66858.6,34,Female,2,Retired,5371.719318,0,869.5,2818.4,1543,649.4,1050.2,1626.1,1137.4,1551.7,564.2,17181.8,53486.9
90367.6,35,Male,1,Student,7555.140763,4612.103386,2201.8,6313.2,3221.4,1513.8,1723.3,3368.5,2178.5,3160,628.4,36476.2,72294.1
141455.6,21,Female,0,Self_Employed,15218.34004,6809.441427,4889.4,14690.1,7106.1,5040.2,2858.2,6128.6,4571.1,0,2526.1,69837.6,113164.5
64875.3,52,Female,4,Professional,4975.05671,3112.609398,635.9,3034.3,1276.2,692.8,660.2,1092.7,1169.1,1445.2,515.5,18609.6,51900.2
64875.6,57,Male,4,Self_Employed,4975.122053,0,1038.2,3250.1,1760.2,1049.1,751,1024.3,1022.3,2003.9,402.2,17276.3,51900.5
146119.7,53,Male,0,Self_Employed,21223.93855,0,4360.2,12790.4,6345.7,4390.9,2626.8,6202.5,3807.1,0,2776.8,64524.4,116895.8
95431.3,40,Male,1,Professional,11086.2683,8307.70222,1755.4,8194.5,3353,1741.9,1219.7,2362,2574.4,5520.4,850,46965.4,76345.1
60606.7,32,Male,4,Retired,6182.019936,3562.488826,1018.6,3066.9,1170.8,688.1,418.2,921.2,830.2,1939.2,446.1,20243.8,48485.4
86304.8,30,Male,1,Student,9260.958047,0,2130.3,5065.6,2500.1,2040.3,1016.6,2945.4,1649.8,3086,919.5,30614.5,69043.8
60706.8,31,Female,0,Student,3106.02335,0,1031.8,3037.3,1459.3,451.4,785.3,1548.1,819.1,0,410,12648.3,48565.5
60668.6,31,Female,4,Professional,4133.711478,0,754.4,2597.4,1123,878.9,643.2,1408.9,1019.2,1506.4,483.8,14548.9,48534.8
76407.2,54,Female,3,Retired,10922.16701,4583.248323,970.8,4685.7,2503.1,1329,822.9,2335.9,1153.7,1940.1,570.1,31816.8,61125.8
46492,22,Female,3,Retired,973.8024698,0,184.2,955.5,494.8,309.2,229.8,471.9,222.6,590,179.1,4611.1,37193.6
47547.9,39,Female,4,Self_Employed,1509.570545,0,330.2,1032.7,568.2,266.4,277.5,510.6,235.7,522,133.5,5386.4,38038.3
59132.1,45,Female,2,Student,3826.419256,2525.405342,590.2,2515.7,1164.1,661.8,660.7,1159.6,919.4,1442.9,461.5,15927.7,47305.7
53342.2,62,Male,4,Retired,2668.441444,2540.481211,352.9,1920.1,961.4,622.3,331.7,985.6,531.6,1043.2,286.3,12243.9,42673.8
78574.6,21,Female,4,Professional,7714.929404,0,1838.3,5126.8,2614.5,1267.6,1802.7,2081.4,1196,3476,843.8,27962.1,62859.7
54509.1,55,Female,4,Student,4352.739064,829.4411882,438.6,1506.3,811.7,515.6,414.2,766.3,656.6,1450,285,12026.5,43607.3
49692.5,46,Female,0,Professional,1938.503935,0,217.6,1306.5,562.1,396.1,427.9,723.6,305.7,0,155.5,6033.5,39754
136903.6,54,Male,4,Retired,19380.71471,9481.168345,3585.1,14257,6271.7,2829,3879.6,4066.7,3956.9,6227.5,2131.7,76067.1,109522.9
65042.5,52,Female,4,Self_Employed,5008.509816,2898.038657,914.2,3170.7,1947.5,1098.4,839.6,1321,1066,1470.5,407.5,20141.9,52034
71665.3,37,Male,0,Student,9499.575763,0,1034.5,4019.5,2180.7,1373.3,876.1,1686.6,1579.1,0,623.6,22872.9,57332.2
49596.5,52,Female,4,Retired,1919.300737,0,320.4,1093,627.4,429.7,379.5,515.1,417.1,540.7,258.7,6500.8,39677.2
59408.1,52,Female,3,Retired,5822.43406,2832.160281,516.1,2486.7,1346.6,956.6,930.3,1041.3,592.6,1604.7,452.3,18581.8,47526.5
72783.8,37,Female,3,Professional,6556.766311,0,946.6,4815.6,1788.1,1519.5,1452.3,1557.9,1175.1,2225.1,973.9,23010.8,58227.1
51946.1,19,Female,4,Student,2389.214396,0,413.3,1363.8,641.9,475.9,497.3,699.3,404.4,782.1,131,7798.2,41556.9
80518.4,35,Female,0,Retired,6077.757596,0,1992,6013.2,3205.9,1070.6,1146.6,2250.4,1221.9,0,1073.1,24051.6,64414.7
58554,47,Male,4,Self_Employed,3710.803824,1192.224566,916.6,2513,1393.7,674.7,773.2,1169.7,795.1,1575.4,416.6,15131,46843.2
63756.2,59,Female,4,Student,4751.234454,0,537.3,2635.3,1579.3,597.6,1039.1,1446.6,1068.2,2353.9,325.9,16334.4,51004.9
58538.2,46,Male,1,Professional,3707.634898,3359.642815,874.8,2506.8,1186.6,729.5,409.3,946,746.7,1722.1,294.5,16483.5,46830.5
172028.8,56,Male,2,Self_Employed,19804.317,0,4383.8,15998.7,7954.6,5733.4,4929.4,6807.5,5860.8,8512.7,2002.1,81987.5,137623
69677.8,39,Female,0,Retired,8903.342763,2892.435495,1002.3,3838.3,1959.4,769.2,1051.8,1756.6,1046.8,0,397.7,23617.8,55742.2
52871.7,46,Female,2,Retired,2574.333655,0,396.2,1841.4,1013.3,281.1,564.1,877.6,556.9,1265.1,347.9,9717.8,42297.3
97929.9,63,Male,1,Retired,11585.97597,0,2686.9,6416.2,3010.6,1164.4,2301.2,3995.6,1886,5289.5,772.6,39108.9,78343.9
51296.8,27,Male,2,Retired,2259.366692,0,380.9,1382.7,763.6,553.8,456.4,701.9,503.3,804.3,202.7,8008.9,41037.5
75455.8,37,Female,4,Professional,5318.377485,2757.064142,715.2,4322.4,2783.7,951.3,1212.5,2597,1666,1978,976.5,25278.1,60364.7
46255.5,33,Female,3,Self_Employed,1251.100257,867.8104018,300.6,841.3,457.5,234.3,301.5,459.2,244.9,380.4,123.6,5462.2,37004.4
50367.2,23,Female,0,Student,1555.082436,736.930902,510.3,1072.1,763,292.2,237.3,788,468.3,0,106.3,6529.6,40293.8
75117,34,Female,0,Retired,10535.11082,0,1157.9,3839.3,2433.6,1225.3,905.5,2256.5,1563.4,0,1015.8,24932.4,60093.6
94161.5,23,Male,4,Self_Employed,16248.45523,5389.560329,1791.9,6609.1,4218.1,1305.2,2483.2,3827.4,1743,4771.6,599.7,48987.3,75329.2
74408.1,39,Male,2,Self_Employed,6881.620033,0,706.2,4377.8,2682.9,1174.1,821.5,2050.9,1117.5,3379.5,612.8,23805,59526.5
67349,35,Male,0,Self_Employed,4102.345039,0,712.5,2794.2,1792,1316.6,836.5,1834.6,1129.6,0,682.8,15201.2,53879.2
63578,49,Female,1,Self_Employed,4715.601657,0,556.5,2880.5,1706.7,1147.9,492.8,1880.2,893.6,1435.1,669.5,16378.3,50862.4
49192.4,45,Female,1,Professional,1838.485026,1648.011479,403.2,1204.6,732.1,299.6,299.5,696.4,390.5,880.1,257.6,8650.1,39353.9
56866.4,59,Male,2,Self_Employed,3373.275067,2840.341225,598.1,1801.1,1070.3,666.2,731.2,1038.9,584.3,1000.9,183.9,13888.8,45493.1
60752.9,27,Male,1,Professional,3112.936149,0,595.2,2533.6,1260.5,813.8,1008.5,1548.4,778.8,1985.1,525.9,14162.8,48602.3
109888.1,58,Female,3,Professional,20966.4252,0,3336.3,9572.3,3725,2735.5,2271.9,2813.7,2620.6,6125,1935.5,56102.1,87910.5
79491.8,39,Female,4,Retired,7898.351769,0,1555.3,4126.2,2765.2,1423.7,922.6,1731.3,1322,2299.3,595.8,24639.8,63593.4
47321.1,45,Male,0,Student,1464.226834,674.6892292,352.1,959.1,396.9,241.8,161.1,576.2,285.4,0,76.3,5187.7,37856.9
78879.4,32,Female,4,Student,7775.880076,0,1074.1,4633.1,2588.9,983.1,1421,2168.1,1411.7,2562.4,1042.5,25660.6,63103.5
62046,60,Female,2,Self_Employed,4409.201666,2490.265351,1014,2701.4,1142.2,821,894.4,1267.4,671.8,1918.1,242.7,17572.5,49636.8
57455.6,46,Male,4,Self_Employed,5236.676163,0,796.8,2060.1,1393.7,365.7,382.2,774.7,821.5,1606,274.6,13712.1,45964.5
88937.2,24,Male,0,Student,7340.584179,6173.577293,2295.8,5099.5,3419.2,2342.9,2009.7,2740.6,2284.3,0,1077.7,34783.8,71149.8
108442.7,51,Female,0,Student,13688.54138,9243.340535,3047.3,8891.7,3535.4,3298.9,2383.7,4927.4,2414.5,0,1400.6,52831.3,86754.2
103194.8,49,Female,2,Professional,12638.95315,0,2792.2,7662.3,4519.1,3080.4,2395.1,3687.7,2341.2,5067.9,1221.8,45406.8,82555.8
55330.2,19,Female,0,Self_Employed,3066.035781,0,697.1,2176.9,1046.6,336.9,738.8,682.5,757.1,0,300.1,9802.1,44264.1
63425.6,43,Female,1,Student,7027.666222,2226.88042,1098.2,3200.4,1660.4,736,599.8,1763.2,1032.5,2095.6,504.1,21944.7,50740.4
79103.3,62,Male,4,Student,7820.669888,0,1279.2,5043.8,2908,1609.3,924.5,2894.1,1800.9,3364.6,456.4,28101.3,63282.7
105472.7,28,Female,3,Professional,13094.5429,0,1739.6,7322.8,4659.7,1770.7,3042.8,3519.6,2326.3,5264.1,1497.5,44237.6,84378.2
60447.4,42,Female,3,Retired,4089.489227,0,453.2,2541,1126.6,905.7,857.4,1251,951.7,1830.9,498,14504.9,48358
65859.3,36,Male,3,Professional,5171.859463,0,730.6,3591.5,1500.2,700.6,737,1792.2,1201.8,1539,359.5,17324.3,52687.4
52380.6,37,Female,2,Student,1857.087532,1610.899785,568.1,1310.8,688.4,261.6,305.9,918.7,601.6,927.4,204.8,9255.3,41904.5
51521.7,50,Male,3,Self_Employed,2304.339697,1912.459955,575.1,1220.5,821.3,340.3,483.5,906.1,558.9,721.4,238.4,10082.4,41217.4
97467.4,34,Female,4,Retired,11493.4824,8786.605014,1878.7,6376.5,3566.1,1853,1270.2,3999.6,2054.3,3769.7,592.2,45640.6,77973.9
128782.5,47,Male,0,Professional,26634.7459,0,3022.1,12812.9,4607.5,2449,2168,3851.5,4132.2,0,1782.3,61460.2,103026
68320.6,35,Male,1,Retired,8496.17855,0,900.1,3552.7,1829.6,1018.2,1358.7,1487.1,1083.4,1559,408.6,21693.6,54656.5
106955.2,49,Male,3,Retired,13391.03948,12898.36643,2445.7,9963.1,4248.9,2279.6,2559,4079.7,2548.8,5497.4,1952.4,61864,85564.2
80065.1,57,Male,3,Professional,12019.53686,3437.467199,1375.9,5780.9,2679.5,2000.7,865,1953.8,1896,2634.5,477.4,35120.6,64052.1
57905.4,62,Female,3,Self_Employed,3581.077259,0,725.5,1997,1386,845.8,861.6,1080.3,854,1159.6,303.9,12794.7,46324.3
80057.4,21,Male,1,Student,6008.612647,6078.130006,1131.2,5980.4,2974.4,1854,1286.2,2869.6,1609.2,3873.9,798.5,34464.1,64045.9
142681,49,Male,4,Student,20536.19055,19761.32749,3295,12785.3,7472,2304.4,4855.3,6328.4,3410.5,6922.8,1204.6,88875.9,114144.8
69152.4,36,Male,3,Self_Employed,5830.475967,0,935.1,4183.8,1638,859.4,1197.8,2319.4,931.4,2780.7,723.2,21399.3,55321.9
144890,20,Male,0,Retired,31467.00391,6756.652739,3100.6,12984.3,8099.1,3415.3,3890,8022.5,5070.9,0,1187.8,83994.2,115912
43689.2,55,Female,2,Self_Employed,1106.750776,495.4111707,162.1,543.4,225.1,150.5,170.2,244.4,174.2,186.8,83.5,3542.4,34951.3
97900.1,45,Male,1,Retired,17370.03475,11444.46584,2096.5,7942.7,3662.1,2816.3,2288.6,4065.1,2261,3600.4,1202.6,58749.8,78320.1
72163.6,55,Male,4,Professional,6432.717799,1904.557434,1183.6,4065.1,1640.4,1491.3,726,1709.8,1217.4,2345.4,436,23152.3,57730.9
63617.6,23,Male,0,Retired,4723.516715,0,643.2,3188.2,1642.4,781,655.3,1328.2,744.2,0,359.6,14065.7,50894.1
72285.1,57,Male,1,Student,9685.531738,3371.917633,1056.3,3594.6,2527.7,655.2,780.1,1296.8,1182,3174.5,689.2,28013.8,57828.1
46117.4,34,Male,1,Student,1223.486216,383.8683816,185.6,873.2,353.4,250.1,195.2,453,196.8,314.1,159.5,4588.4,36893.9
65165.1,59,Female,2,Retired,5033.028845,3469.485867,1188.6,2860.2,1424.7,1090.7,968.5,1988.2,1198.3,1757.4,259.7,21238.8,52132.1
79920.4,22,Male,2,Student,7984.07974,7102.199332,843.7,5176.9,2228.1,1878.4,1142.6,2105.5,1930.6,2590.4,860,33842.6,63936.3
